Frame number: 0  Sekunda 2.0: 
Frame number: 17  Sekunda 2.68: 浮士德重回20岁

Frame number: 34  Sekunda 3.3600000000000003: 又过了一生

Frame number: 51  Sekunda 4.04: 他说他的第二世是这样的

Frame number: 68  Sekunda 4.720000000000001: 谈了个恋爱 失败了

Frame number: 85  Sekunda 5.4: 走了个仕途 没走通

Frame number: 102  Sekunda 6.08: 追求艺术蕉想 破炎了

Frame number: 119  Sekunda 6.76: 就连最后想做的理想国也没有实现

Frame number: 136  Sekunda 7.44: 这不就是个一事无成的人生吗

Frame number: 153  Sekunda 8.120000000000001: 可是浮士德很满意

Frame number: 170  Sekunda 8.8: 上帝也很满意

Frame number: 187  Sekunda 9.48: 上帝认为浮士德代表束个人类活出了意义

Frame number: 204  Sekunda 10.16: 这怎么理解

Frame number: 221  Sekunda 10.84: 一事无成的人生它的价值是什么呀

Frame number: 238  Sekunda 11.52: 浮士德他做到了什么

Frame number: 255  Sekunda 12.2: 其实浮士德他就做到了一件事情

Frame number: 272  Sekunda 12.88: 保持了一份旺盛的目我想象

Frame number: 289  Sekunda 13.56: 保持了一份旺盛的自我想象

Frame number: 306  Sekunda 14.24: 和探索自我和人生可能性的这样的一种勇气

Frame number: 323  Sekunda 14.92: error
Frame number: 340  Sekunda 15.6: error
Frame number: 357  Sekunda 16.28: error
Frame number: 374  Sekunda 16.96: 大家好

Frame number: 391  Sekunda 17.64: 我是杜北娟

Frame number: 408  Sekunda 18.32: 是在华东政法大字教文季吉的老师

Frame number: 425  Sekunda 19.0: 其实这个身份抽尴炊的

Frame number: 442  Sekunda 19.68: 每次我一介绍我这个身份

Frame number: 459  Sekunda 20.36: 避是会有人跑上水说

Frame number: 476  Sekunda 21.04: 总是会有人跑 上上张说

Frame number: 493  Sekunda 21.72: 了衣是会有人跑上迪说

Frame number: 510  Sekunda 22.4: 让 政法大学的老师

Frame number: 527  Sekunda 23.08: ”政法大学的老师

Frame number: 544  Sekunda 23.76: 了        看

Frame number: 561  Sekunda 24.44: 你给我来一点法律盗询吸

Frame number: 578  Sekunda 25.12: 站         帮

Frame number: 595  Sekunda 25.8: 避         大

Frame number: 612  Sekunda 26.48: 其实我在华东政半大学教冰25年的文学课

Frame number: 629  Sekunda 27.16: 成功地把目己变成了一个

Frame number: 646  Sekunda 27.84: 华东政法大字的著名“法让

Frame number: 663  Sekunda 28.52: 本      看

